command_timestamp,command_width,measurement_timestamp,measured_width
60739.846502914,0.04808453181011095,60739.808589861,0.05339094082024661
60739.896730391,0.04510949716263976,60739.858902624,0.05088911973013881
60739.946811607,0.042016647960647906,60739.909101449,0.048110895254589704
60739.996956896,0.03886996166154034,60739.959300203,0.045137227936950575
60740.047007326,0.03575708657837115,60740.009465879,0.04202845113925998
60740.097095313,0.03274669735110479,60740.05974282,0.03887196465324992
60740.147185034,0.029915442255765097,60740.109934186,0.03574138950571585
60740.197243792,0.02733489818063945,60740.160147764,0.03272079068767933
60740.247301272,0.025066996243111688,60740.210363632,0.02987947623240851
60740.297391313,0.023166533745797042,60740.260574419,0.027294873702887166
60740.347450369,0.02168283975465088,60740.310790353,0.02502412359557538
60740.397509417,0.020651239037778255,60740.36102551,0.02312711345051101
60740.447599155,0.020097002883417443,60740.411256924,0.021650674568065225
60740.497658784,0.020034490515815254,60740.461506658,0.0206319545459861
60740.547746505,0.02046514449981211,60740.511776823,0.020094541611474153
60740.597805861,0.021377847118828695,60740.56211108,0.0200531566701114
60740.647865375,0.022750181051536943,60740.612366107,0.020508781031136715
60740.697927924,0.024548393503183132,60740.662591077,0.021451512220185164
60740.747988107,0.02672791512902998,60740.712920448,0.02285449877265787
60740.798047005,0.029234957055256763,60740.763494532,0.0246862430587185
60740.84810747,0.0320077838861106,60740.813736071,0.026900179896235957
60740.898168657,0.03497792478690973,60740.8639855,0.02943669667754114
60740.948230087,0.0380720432608579,60740.914177826,0.03223943200648521
60740.998291187,0.041213730212763866,60740.964375297,0.03523413079160065
60741.048352725,0.04432548503212713,60741.014632935,0.038348028206761496
60741.09841411,0.04733046131844502,60741.064882424,0.04150217812191332
60741.14849124,0.05015534703893433,60741.115205819,0.04461441392280168
60741.198562905,0.052729139081699225,60741.165410551,0.047615276975093435
60741.249610758,0.05502913900771735,60741.215671378,0.05042665627460413
60741.299671114,0.05691038381334222,60741.266005871,0.052937496856925684
60741.349735075,0.05837432450324411,60741.316304407,0.055208461219064094
60741.399912624,0.05938642793084856,60741.366528366,0.057053900448491596
60741.450075481,0.05991770036269772,60741.416696964,0.058474422159660755
60741.500268034,0.059955214758746725,60741.466878262,0.05943956608635645
60741.550464117,0.05949753216811282,60741.517149462,0.059921514351557945
60741.600637486,0.05855652293202899,60741.567340849,0.059908696678244056
60741.650835039,0.05715464181049585,60741.617524495,0.05940238047595246
60741.701016027,0.05532768754414591,60741.667718348,0.05841440773791082
60741.751195799,0.05312064080239635,60741.717908093,0.0569664002987713
60741.8012605,0.05059433090112815,60741.768163237,0.0551013820474452
60741.851328931,0.04780626345979975,60741.818373877,0.05284764780468647
60741.901387651,0.04482604662114968,60741.868665034,0.05027982563005555
60741.951603958,0.0417168530712861,60741.918947258,0.04745503364027354
60742.001673101,0.03857424200712855,60741.969212733,0.04446331230696296
60742.051757179,0.03546592083259731,60742.019536707,0.04133575818091628
60742.10182952,0.03247030193968468,60742.069720591,0.03818105995537273
60742.151890737,0.029661223285137324,60742.12003479,0.03508037419615578
60742.201973058,0.027106328402691806,60742.17029705,0.03209777170415113
60742.2520076,0.024871926116476664,60742.220701562,0.029313305313553372
60742.302084068,0.023009151226477495,60742.271019106,0.026793079144797394
60742.352146485,0.021566367920009325,60742.321291922,0.024605379980798057
60742.402211514,0.020578574228016615,60742.371608087,0.02279631720029567
60742.452275291,0.020070249250528728,60742.421795786,0.021416546524467332
60742.50236119,0.020054013039262294,60742.472150863,0.020499157427259156
60742.553687779,0.020548583753706936,60742.522360387,0.020067647782472754
60742.603750012,0.021517311600849572,60742.572713114,0.020123054299885493
60742.653814446,0.022942348049262318,60742.623057071,0.020688405959348042
60742.703893321,0.02478907061065393,60742.673265771,0.02172852121197863
60742.754073724,0.02701636847915522,60742.72349188,0.023223225095688926
60742.804143786,0.029559758826952616,60742.773782112,0.02512770857788001
60742.85420495,0.03236042533561892,60742.824107329,0.027412339817166242
60742.904264547,0.035349567326211986,60742.874415978,0.030006145355001748
60742.954324066,0.03845348609199719,60742.924635601,0.032847903877502936
60743.004385507,0.04159569606823718,60742.974902807,0.03586401932738979
60743.054441955,0.044698213346798236,60743.025153181,0.03898748211614279
60743.104503086,0.047685055855868255,60743.075392283,0.04213306273373865
60743.154593544,0.05048377400609315,60743.125590233,0.045226982379743666
60743.204670453,0.05302276778249433,60743.175796139,0.04818896035706767
60743.254771443,0.05524109236229332,60743.226128085,0.05094562982137224
60743.304941499,0.057084872676747084,60743.276330532,0.05343333529590756
60743.355094136,0.05850469097678494,60743.326548906,0.05558428223537559
60743.405270919,0.05946643010486094,60743.376759289,0.05734992466924741
60743.45541712,0.05994531076623866,60743.430289746,0.05868745551435408
60743.505688783,0.05992954178215516,60743.480481896,0.05955889019928224
60743.55600724,0.059417000917118955,60743.530767379,0.059942278990450966
60743.606290113,0.05842112287510896,60743.581052059,0.05983122359995261
60743.656568065,0.05696668322461457,60743.631234391,0.059224569135857386
60743.706945012,0.05508573642741465,60743.681422712,0.0581411442604552
60743.757107247,0.052838065951970326,60743.731664549,0.056604606533811636
60743.807168179,0.050277690052464095,60743.781865589,0.05464436501741367
60743.857328401,0.04745783915363348,60743.832191667,0.0523268435311746
60743.907485178,0.04445338617363471,60743.882831271,0.04969929921146864
60743.957642714,0.04133854114296701,60743.933067901,0.04683464043444599
60744.007791075,0.03819110331778516,60743.983258363,0.04380343880912981
60744.057849545,0.03509394595827354,60744.033690851,0.04067934327527562
60744.107960954,0.03211481711351962,60744.083914527,0.037530470981065454
60744.158122985,0.029328021908577244,60744.134095327,0.034448722002849895
60744.208182939,0.026810529255480466,60744.184294468,0.03150839838224443
60744.258243777,0.024618547351250783,60744.234541719,0.02877235267299496
60744.308303509,0.022806263693718038,60744.284791171,0.026321822813054025
60744.358361735,0.021418391945341266,60744.335103842,0.024207676512981655
60744.408420662,0.02048911542777555,60744.385300161,0.02248680193135768
60744.458579704,0.020040988858322017,60744.435602319,0.02120183009331089
60744.50863863,0.020086857761436077,60744.485900953,0.020385004332879684
60744.558796372,0.020625748330220694,60744.536188168,0.020051827641592412
60744.608854963,0.021642232735076556,60744.586485655,0.02021521700050987
60744.659031843,0.023115786766490988,60744.636665034,0.020871970026113504
60744.709062149,0.025001932622120065,60744.686906031,0.02199916713051041
60744.75911904,0.02725911510237243,60744.737104367,0.02358226805768804
60744.809133257,0.029828424586529546,60744.787363332,0.02556939321831694
60744.859189592,0.03265079531968388,60744.837573979,0.027922486094728565
60744.909245836,0.03565452944904547,60744.887812306,0.03056548754998021
60744.959304068,0.03876562851937489,60744.938018989,0.033448670367734856
60745.009362609,0.041907211931440154,60744.988392152,0.03649455930040231
60745.059422092,0.04500178095732338,60745.038608355,0.03962789131591676
60745.109482449,0.047972947290804965,60745.088766146,0.042772422980259656
60745.159543586,0.05074736125245935,60745.138912428,0.0458441322837021
60745.209655739,0.05325889326435321,60745.189080626,0.04877365398027338
60745.259806692,0.055444033174214424,60745.239326455,0.0514797412161704
60745.309938503,0.057245985798992,60745.289576059,0.053900485260203926
60745.360082597,0.05862132933406365,60745.339855032,0.055980128531767745
60745.410156497,0.05953456734264484,60745.390083151,0.05766031981196424
60745.460365997,0.05996587878444122,60745.440355394,0.05889971708268499
60745.510433675,0.05990232570287346,60745.490575746,0.05966666860875831
60745.560509443,0.059347257699145346,60745.540778291,0.05994615155329966
60745.610578973,0.058314511561080674,60745.591030573,0.05972745486976328
60745.660761627,0.05682570751482897,60745.641225377,0.05901677507243944
60745.710907818,0.05492109815019417,60745.691463868,0.05783608357681218
60745.76104089,0.05264757323180702,60745.741654592,0.056207301500015835
60745.811130038,0.05006335174024236,60745.791893256,0.05417663046030298
60745.861335254,0.047223654568525626,60745.842066041,0.05179063153347813
60745.911471546,0.04420886075335487,60745.892302185,0.04911350688516403
60745.961638434,0.04108794667571638,60745.942513005,0.04620752669441248
60746.011764321,0.03794262746750312,60745.992809441,0.04314964498571168
60746.061905556,0.03484729069157954,60746.043049698,0.04000719882904412
60746.113120219,0.03181795739471884,60746.093242557,0.036870381574626444
60746.163183235,0.029060483763380072,60746.143467305,0.033856952561659354
60746.213241018,0.02657329902177686,60746.193731356,0.030907528999057916
60746.26330104,0.024417399041329668,60746.243983834,0.028231546973199136
60746.31335952,0.02264616243370545,60746.294201055,0.02585065221424708
60746.363433569,0.021302885663662736,60746.34444112,0.02381412212293328
60746.413503363,0.020421410327781882,60746.394668455,0.02218390089436864
60746.463616816,0.02002323650537041,60746.444914764,0.020996316545715515
60746.513715362,0.02011908500815439,60746.49515384,0.020282263484488704
60746.563789912,0.020705998084241277,60746.545406721,0.020057059156977624
60746.613857523,0.02176922905752322,60746.595650519,0.020328024502102006
60746.663912983,0.023282155383804005,60746.645843397,0.021087438235125128
60746.713976781,0.025207994950955506,60746.696026345,0.022317200836223412
60746.764005369,0.02749726411268394,60746.746224193,0.02398401813901671
60746.814173372,0.030102354426453946,60746.796458285,0.026053241887039183
60746.864265484,0.032948332407351136,60746.846712834,0.028462096563267533
60746.914433063,0.03597322938666572,60746.896910396,0.031166493939552373
60746.964540289,0.03909415497700039,60746.947135085,0.03408304797569688
60747.014611179,0.04223521230878873,60746.997420538,0.037152463193494474
60747.064696289,0.04532193670153042,60747.047635007,0.040293648381596416
60747.114808307,0.04827871083220845,60747.09783015,0.04342553768721683
60747.165276466,0.05104938198907297,60747.148032893,0.04647106520564269
60747.215455499,0.05352949934943827,60747.198300468,0.049342594251093
60747.265713507,0.0556771721579182,60747.24848857,0.05200625447041729
60747.315772217,0.057428696194181436,60747.298686459,0.0543587927504503
60747.365954929,0.058752771315365965,60747.348942269,0.05635857074141611
60747.416107363,0.05961134394332626,60747.399196089,0.057945382931672965
60747.466489284,0.0599846474771604,60747.449473709,0.05908886540886553
60747.516655606,0.05985993710723208,60747.499706546,0.05975636887955483
60747.566858302,0.05924233416251991,60747.550017319,0.05993593002961517
60747.617157861,0.058144520477628386,60747.600197667,0.0596177881105554
60747.667320459,0.05659937194180659,60747.650463209,0.05881248677316514
60747.717480705,0.054642935271467144,60747.700718074,0.05753824340783685
60747.767778632,0.05231681638876458,60747.750982551,0.05582963275053409
60747.818243465,0.04967462208588394,60747.801274938,0.05373117050026882
60747.868392512,0.046808425588617426,60747.851457911,0.05129466856778163
60747.918591775,0.04377048561267463,60747.901721961,0.04855886716412389
60747.968883028,0.0406331868541622,60747.952107574,0.045624650839660025
60748.019162892,0.037480825035942515,60748.002305996,0.042546760521793736
60748.069389786,0.03439438328951311,60748.052520616,0.03940663124207255
60748.119573537,0.03144967384769912,60748.102684703,0.036281441056907296
60748.169695761,0.028720241049272087,60748.152885744,0.03324917989824063
60748.219864375,0.026267790827619927,60748.203025537,0.030380025237566687
60748.270138662,0.024151701909092663,60748.253223621,0.027756330504730406
60748.320429901,0.022429626143537818,60748.303467314,0.0254367606416952
60748.370604737,0.021147676194935603,60748.353787842,0.02347706732790184
60748.421112303,0.020329389022081902,60748.403989276,0.021926450558756538
60748.471171005,0.020005990809939835,60748.45432449,0.02083031168147028
60748.521648226,0.02017956445794536,60748.504508248,0.020202578949511062
60748.571803696,0.020844701052947914,60748.554743058,0.020073245394790655
60748.622098115,0.021988229523349744,60748.605016854,0.020438506111840594
60748.672332508,0.023578342017625917,60748.655268438,0.02128866123003916
60748.722653766,0.02558038388855117,60748.705465603,0.022606672866215288
60748.77277593,0.027932074394002943,60748.755674174,0.0243537929352833
60748.822846194,0.03057949140689669,60748.805998469,0.026493718725448475
60748.873110178,0.033471027412518416,60748.856316738,0.02897405251221709
60748.923547874,0.03653577606259808,60748.906520959,0.03171469733904718
60748.973774859,0.03967408455563001,60748.956760078,0.03466191965838867
60749.023866947,0.04281209967093817,60749.00695869,0.03775344138992011
60749.073923285,0.04587846981022404,60749.057203835,0.04090217287944322
60749.123982284,0.04879991695254667,60749.107459588,0.0441153119472816
60749.174005867,0.05150234998069353,60749.157697326,0.04713255054375627
60749.224044709,0.05392197864050809,60749.208005218,0.0499724937796418
60749.274101355,0.05599894156144013,60749.258342138,0.05255974086789742
60749.324134566,0.05768037790136091,60749.308599083,0.05483569976301482
60749.374191266,0.05892636442564988,60749.35884301,0.056745610809309115
60749.424247272,0.059705258211581236,60749.409088342,0.05823816734314411
60749.474303164,0.05999785768659516,60749.459334607,0.05927797244044203
60749.524361111,0.05979692595967952,60749.509563121,0.05983833149309278
60749.574416517,0.05910744716535607,60749.559838294,0.05990557359827953
60749.62447336,0.057946398613169796,60749.610035967,0.059477261941061024
60749.67452774,0.05634253612174406,60749.660242317,0.05856604945929532
60749.724582961,0.054335355318741625,60749.710499885,0.05719291283578883
60749.774643168,0.0519741610585401,60749.760784325,0.05539249742436679
60749.824767313,0.049313859239428194,60749.811102111,0.05321057502626446
60749.874919892,0.04642138944452816,60749.861433983,0.050699126494951834
60749.925071092,0.043369924656952885,60749.911708301,0.047924384260261625
60749.975223276,0.04023491774429923,60749.962017689,0.04494987730812794
60750.025294736,0.03709910949345385,60750.012210267,0.0418490121060632
60750.075350462,0.034035878302253075,60750.062384259,0.038700142554917175
60750.125406098,0.031119835504265385,60750.112689616,0.035584289472205696
60750.175481701,0.028421914718978154,60750.163020313,0.03258039181913085
60750.225539895,0.026010727551122884,60750.213359334,0.02976435947095136
60750.27560002,0.023944730988553854,60750.263668603,0.02719698703082253
60750.325658851,0.02227505548305458,60750.31391219,0.024953315553949605
60750.375771885,0.021041767390618433,60750.364147066,0.023082930681063887
60750.425836824,0.02027790434669324,60750.414368137,0.021635965519696217
60750.475943715,0.02000089923418547,60750.464580905,0.02064303751192215
60750.526111764,0.02021900851666526,60750.514776791,0.020132509460033407
60750.576309113,0.020928018457363685,60750.565024359,0.020115836819337016
60750.626370212,0.022106524682170246,60750.615292231,0.02059289465657689
60750.676644131,0.023734480057007658,60750.665493808,0.021553822916852212
60750.726809183,0.025762532848129065,60750.715788843,0.022970518921659407
60750.776841088,0.02813673661431134,60750.766036123,0.0248151364641298
60750.826897777,0.03080480829720976,60750.816265713,0.027040254575147325
60750.876951764,0.033699647633374616,60750.866467613,0.029583877617436888
60750.927017,0.03675065445917277,60750.916719855,0.03238827539772868
60750.977081316,0.039881821637541864,60750.966921119,0.03538397694238982
60751.02710931,0.043013650133808534,60751.017133142,0.038494745451015326
60751.077205727,0.04607528575442636,60751.067309782,0.041640756112995544
60751.127263267,0.048984569083380475,60751.117505379,0.04474142094284224
60751.177322803,0.05167221591732212,60751.167720461,0.04773350632365865
60751.227396177,0.05407238845220758,60751.217937646,0.05053007647503733
60751.27757768,0.056129054624326505,60751.268081883,0.05306299354050681
60751.327707145,0.057784191706514415,60751.31829627,0.055267295990982804
60751.377754733,0.05899754933392343,60751.368555462,0.05709735493635909
60751.427897256,0.0597431889317869,60751.41878065,0.05849837104539204
60751.478408003,0.05999996968772221,60751.46898964,0.059438055477069804
60751.52846759,0.05975860445893352,60751.519196512,0.05989331574423247
60751.578581594,0.059028506498671154,60751.569400201,0.05985808735701771
60751.628705224,0.05782745476183372,60751.61966986,0.05932842755762363
60751.678928765,0.05618157438584743,60751.669878639,0.05832022025064729
60751.729094522,0.054136255223664644,60751.720200997,0.05685631278956548
60751.779200932,0.0517435662018851,60751.770456923,0.054971916305423155
60751.829562426,0.04904619072893724,60751.820778193,0.05271497291709286
60751.879710149,0.04613562758648547,60751.871116892,0.050148553921474305
60751.929903801,0.043070241178026276,60751.921278581,0.047319786358865135
60751.980131941,0.039926502793565556,60751.971487482,0.044317354033586775
60752.030422476,0.03678072133875739,60752.021667852,0.04120531696911919
60752.0805104,0.033727217987006064,60752.071867672,0.03806280388551796
60752.130726769,0.03082154278264295,60752.122056225,0.03496909923605644
60752.181083813,0.028136710664386402,60752.172245107,0.03200324898383051
60752.231183564,0.025759516678234826,60752.222448949,0.029233452126983944
60752.281591102,0.02372312317178496,60752.272698661,0.026723559553145308
60752.331660124,0.022103551898282683,60752.322905231,0.024557979467149032
60752.381772326,0.020925049786045386,60752.373121227,0.02276223104942273
60752.432114862,0.02021621479452847,60752.423353785,0.021400583614296337
60752.482351951,0.020001134051492016,60752.473605431,0.02050335676129377
60752.532655158,0.02028386019396938,60752.523894204,0.020088248721059368
60752.582889273,0.021056563910050542,60752.574120926,0.02016890072491823
60752.633195177,0.022302187747164942,60752.624301635,0.02074264145035569
60752.683403799,0.023985265711234157,60752.674527705,0.021794220328524266
60752.733622103,0.026066406699018767,60752.724727089,0.023301229165053762
60752.783967327,0.02850015882688308,60752.774996724,0.02522333219777359
60752.834126569,0.03121049259193167,60752.825194258,0.02751305748760359
60752.884200825,0.03413352595139687,60752.875422558,0.030120704028411292
60752.934256477,0.03720028244302558,60752.925692125,0.032969256158573684
